tokens,activated_experts,time_us
1,8,203.52
2,8,205.28
2,16,286.658
4,8,206.294
4,16,288.173
4,32,450.957
8,8,208.961
8,16,291.554
8,32,457.966
8,64,821.901
16,8,215.425
16,16,297.869
16,32,461.677
16,64,811.117
16,128,1503.28
32,8,223.499
32,16,306.572
32,32,474.389
32,64,826.126
32,128,1516.74
32,256,2785.75
64,8,237.462
64,16,322.978
64,32,498.765
64,64,845.838
64,128,1547.73
64,256,2830.75
128,8,291.585
128,16,386.295
128,32,580.632
128,64,952.761
128,128,1635.12
128,256,2974.06
256,8,412.406
256,16,458.092
256,32,680.837
256,64,1038.54
256,128,1726.78
256,256,3104.51
512,8,713.197
512,16,725.313
512,32,806.307
512,64,1184.46
512,128,1880.67
512,256,3261.83
1024,8,1350.41
1024,16,1358.5
1024,32,1373.2
1024,64,1510.86
1024,128,2274.59
1024,256,3640.25
2048,8,2608.57
2048,16,2598.89
2048,32,2626.15
2048,64,2658.6
2048,128,2913.18
2048,256,4449.37
4096,8,5091.25
4096,16,5117.92
4096,32,5140.15
4096,64,5169.35
4096,128,5351.39
4096,256,5723.55
