layer,sequences,time_us
lm_head,1,417.825
lm_head,2,419.468
lm_head,3,419.18
lm_head,4,420.77
lm_head,5,422.572
lm_head,6,423.03
lm_head,7,423.479
lm_head,8,424.204
lm_head,9,438.988
lm_head,10,441.9
lm_head,11,438.338
lm_head,12,437.569
lm_head,13,435.617
lm_head,14,436.076
lm_head,15,441.591
lm_head,16,442.519
lm_head,20,458.497
lm_head,24,460.492
lm_head,28,461.185
lm_head,32,462.732
lm_head,36,464.961
lm_head,40,463.98
lm_head,44,463.393
lm_head,48,465.399
lm_head,52,490.434
lm_head,56,491.074
lm_head,60,491.66
lm_head,64,492.876
lm_head,80,492.055
lm_head,96,461.453
lm_head,112,464.876
lm_head,128,470.284
lm_head,144,475.937
lm_head,160,478.625
lm_head,176,474.497
lm_head,192,517.698
lm_head,208,495.884
lm_head,224,536.919
lm_head,240,551.873
lm_head,256,568.962
sampler,1,32.832
sampler,2,32.576
sampler,3,32.6293
sampler,4,32.704
sampler,5,32.683
sampler,6,32.8107
sampler,7,32.576
sampler,8,32.6293
sampler,9,34.1863
sampler,10,34.5813
sampler,11,35.0407
sampler,12,34.923
sampler,13,35.019
sampler,14,34.8803
sampler,15,35.36
sampler,16,35.1043
sampler,20,36.7897
sampler,24,37.5787
sampler,28,39.4133
sampler,32,40.0107
sampler,36,41.621
sampler,40,42.9983
sampler,44,44.8217
sampler,48,49.4723
sampler,52,52.5657
sampler,56,55.2747
sampler,60,59.4457
sampler,64,62.7733
sampler,80,69.8133
sampler,96,78.8057
sampler,112,86.284
sampler,128,93.3333
sampler,144,100.523
sampler,160,107.072
sampler,176,114.144
sampler,192,121.451
sampler,208,128.448
sampler,224,135.19
sampler,240,141.356
sampler,256,149.536
