pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0901,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.526,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.137,4
0,n<=128,sr<=15%,kvB<=64k,kp=0,0.0822,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.1431,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.4564,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.2408,2
0,n<=128,sr<=40%,kvB<=64k,kp=0,0.1154,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.1094,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.3487,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.1138,8
0,n<=128,sr<=5%,kvB<=64k,kp=0,0.1058,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0073,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0067,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,0.0006,2
0,n<=128,sr<=70%,kvB<=64k,kp=0,-0.0094,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.9521,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.8576,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.954,4
0,n<=128,sr>70%,kvB<=64k,kp=0,0.9664,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.1482,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.6239,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,-0.0299,4
0,n<=16,sr<=15%,kvB<=64k,kp=0,0.1765,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.531,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.5878,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.5042,4
0,n<=16,sr<=40%,kvB<=64k,kp=0,0.4551,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.0951,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,-0.0618,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,-0.0413,2
0,n<=16,sr<=70%,kvB<=64k,kp=0,0.1081,2
0,n<=16,sr>70%,kvB<=16k,kp=0,2.6589,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.9633,4
0,n<=16,sr>70%,kvB<=4k,kp=0,3.7929,4
0,n<=16,sr>70%,kvB<=64k,kp=0,2.3564,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.2666,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,-0.2777,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.1244,2
0,n<=2,sr<=70%,kvB<=64k,kp=0,0.1282,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0314,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.4065,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0291,4
0,n<=256,sr<=15%,kvB<=64k,kp=0,0.0315,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0017,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.4164,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0006,2
0,n<=256,sr<=40%,kvB<=64k,kp=0,-0.0027,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0275,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.3194,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0112,8
0,n<=256,sr<=5%,kvB<=64k,kp=0,0.0307,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.0052,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,-0.0193,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,0.0063,2
0,n<=256,sr<=70%,kvB<=64k,kp=0,-0.0035,2
0,n<=256,sr>70%,kvB<=16k,kp=0,0.1227,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.1975,4
0,n<=256,sr>70%,kvB<=4k,kp=0,0.1376,4
0,n<=256,sr>70%,kvB<=64k,kp=0,0.1334,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.3153,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,1.0748,6
