prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,21.3915
0,0,1,32,21.323
0,0,1,64,22.8262
0,0,1,128,24.4592
0,0,1,256,29.9945
0,0,1,512,31.7552
0,0,1,1024,32.2723
0,0,1,2048,34.0323
0,0,1,4096,35.051
0,0,1,8192,38.7737
0,0,1,16384,43.5907
0,0,1,32768,53.0242
0,0,1,65536,60.4965
0,0,2,16,21.3498
0,0,2,32,21.6582
0,0,2,64,23.2107
0,0,2,128,24.6075
0,0,2,256,30.6513
0,0,2,512,32.7248
0,0,2,1024,32.3787
0,0,2,2048,34.2668
0,0,2,4096,37.0932
0,0,2,8192,42.7253
0,0,2,16384,51.392
0,0,2,32768,63.6588
0,0,2,65536,73.0718
0,0,4,16,21.4877
0,0,4,32,21.642
0,0,4,64,23.1682
0,0,4,128,24.7575
0,0,4,256,30.859
0,0,4,512,32.0798
0,0,4,1024,32.6823
0,0,4,2048,37.147
0,0,4,4096,42.2882
0,0,4,8192,49.8888
0,0,4,16384,60.2773
0,0,4,32768,72.5337
0,0,4,65536,105.803
0,0,8,16,22.1068
0,0,8,32,22.1067
0,0,8,64,23.5307
0,0,8,128,25.2048
0,0,8,256,31.9577
0,0,8,512,33.446
0,0,8,1024,37.2215
0,0,8,2048,41.0503
0,0,8,4096,46.9867
0,0,8,8192,56.4588
0,0,8,16384,73.5365
0,0,8,32768,106.518
0,0,8,65536,172.582
0,0,16,16,23.115
0,0,16,32,23.4133
0,0,16,64,24.8317
0,0,16,128,26.3363
0,0,16,256,35.2532
0,0,16,512,36.9875
0,0,16,1024,41.2107
0,0,16,2048,46.1813
0,0,16,4096,55.8185
0,0,16,8192,72.4957
0,0,16,16384,106.011
0,0,16,32768,172.726
0,0,16,65536,309.691
0,0,32,16,23.9523
0,0,32,32,24.1762
0,0,32,64,25.5683
0,0,32,128,27.088
0,0,32,256,40.6348
0,0,32,512,44.8582
0,0,32,1024,47.9523
0,0,32,2048,56.6508
0,0,32,4096,73.2803
0,0,32,8192,107.632
0,0,32,16384,175.265
0,0,32,32768,312.469
0,0,32,65536,579.617
0,0,64,16,24.9767
0,0,64,32,25.2912
0,0,64,64,26.6238
0,0,64,128,28.5327
0,0,64,256,49.301
0,0,64,512,53.0832
0,0,64,1024,62.6133
0,0,64,2048,80.09
0,0,64,4096,115.659
0,0,64,8192,183.121
0,0,64,16384,319.75
0,0,64,32768,589.975
0,0,64,65536,1126.57
0,0,128,16,28.3408
0,0,128,32,28.6395
0,0,128,64,30.5382
0,0,128,128,33.9948
0,0,128,256,52.331
0,0,128,512,62.5598
0,0,128,1024,80.6348
0,0,128,2048,115.067
0,0,128,4096,182.39
0,0,128,8192,317.803
0,0,128,16384,586.022
0,0,128,32768,1122.22
0,0,128,65536,2194.6
0,0,256,16,40.7042
0,0,256,32,41.2373
0,0,256,64,45.1093
0,0,256,128,51.9363
0,0,256,256,93.771
0,0,256,512,113.792
0,0,256,1024,149.414
0,0,256,2048,215.051
0,0,256,4096,348.16
0,0,256,8192,613.633
0,0,256,16384,1138.59
0,0,256,32768,2196.51
0,0,256,65536,4303.56
16,0,0,0,27.915
16,0,1,16,26.576
16,0,1,32,26.582
16,0,1,64,27.8028
16,0,1,128,29.0825
16,0,1,256,35.8138
16,0,1,512,37.744
16,0,1,1024,39.3228
16,0,1,2048,42.6618
16,0,1,4096,49.0353
16,0,1,8192,62.171
16,0,1,16384,87.3922
16,0,1,32768,139.232
16,0,1,65536,242.715
16,0,2,16,26.8437
16,0,2,32,26.6028
16,0,2,64,27.7328
16,0,2,128,29.424
16,0,2,256,35.2533
16,0,2,512,36.0208
16,0,2,1024,38.0277
16,0,2,2048,41.6642
16,0,2,4096,48.1333
16,0,2,8192,61.12
16,0,2,16384,86.9863
16,0,2,32768,138.432
16,0,2,65536,242.172
16,0,4,16,26.827
16,0,4,32,26.8005
16,0,4,64,28.4215
16,0,4,128,29.568
16,0,4,256,37.179
16,0,4,512,37.6
16,0,4,1024,39.1148
16,0,4,2048,44.2025
16,0,4,4096,49.7228
16,0,4,8192,62.4803
16,0,4,16384,88.5118
16,0,4,32768,140.203
16,0,4,65536,244.085
16,0,8,16,27.104
16,0,8,32,27.0187
16,0,8,64,28.512
16,0,8,128,29.963
16,0,8,256,37.5092
16,0,8,512,38.629
16,0,8,1024,40.7253
16,0,8,2048,44.9972
16,0,8,4096,52.5232
16,0,8,8192,65.8505
16,0,8,16384,92.6665
16,0,8,32768,146.032
16,0,8,65536,251.942
16,0,16,16,27.3338
16,0,16,32,27.7817
16,0,16,64,29.1473
16,0,16,128,31.024
16,0,16,256,40.6615
16,0,16,512,41.8028
16,0,16,1024,45.35
16,0,16,2048,49.781
16,0,16,4096,59.3917
16,0,16,8192,76.7255
16,0,16,16384,112.224
16,0,16,32768,178.571
16,0,16,65536,314.012
16,0,32,16,29.146
16,0,32,32,28.8265
16,0,32,64,30.1385
16,0,32,128,32.2457
16,0,32,256,45.355
16,0,32,512,49.0295
16,0,32,1024,53.2853
16,0,32,2048,61.376
16,0,32,4096,79.4022
16,0,32,8192,115.307
16,0,32,16384,182.256
16,0,32,32768,317.98
16,0,32,65536,589.888
16,0,64,16,29.824
16,0,64,32,30.1227
16,0,64,64,31.7865
16,0,64,128,33.5203
16,0,64,256,57.4618
16,0,64,512,61.696
16,0,64,1024,70.336
16,0,64,2048,87.312
16,0,64,4096,122.646
16,0,64,8192,190.597
16,0,64,16384,328.176
16,0,64,32768,595.329
16,0,64,65536,1132.06
16,0,128,16,38.5973
16,0,128,32,39.0402
16,0,128,64,41.8183
16,0,128,128,44.0213
16,0,128,256,62.7248
16,0,128,512,72.3682
16,0,128,1024,86.352
16,0,128,2048,122.053
16,0,128,4096,188.656
16,0,128,8192,325.43
16,0,128,16384,593.59
16,0,128,32768,1129.86
16,0,128,65536,2198.9
16,16,0,0,28.0375
16,16,1,16,26.8267
16,16,1,32,26.6613
16,16,1,64,27.696
16,16,1,128,29.557
16,16,1,256,36.7573
16,16,1,512,37.3762
16,16,1,1024,39.131
16,16,1,2048,42.635
16,16,1,4096,48.672
16,16,1,8192,61.579
16,16,1,16384,87.6963
16,16,1,32768,139.414
16,16,1,65536,242.635
16,16,2,16,26.7732
16,16,2,32,26.7523
16,16,2,64,27.7975
16,16,2,128,29.4458
16,16,2,256,35.2483
16,16,2,512,35.8985
16,16,2,1024,37.8937
16,16,2,2048,40.9543
16,16,2,4096,47.9632
16,16,2,8192,61.2218
16,16,2,16384,86.741
16,16,2,32768,138.598
16,16,2,65536,242.192
16,16,4,16,26.9008
16,16,4,32,26.7143
16,16,4,64,27.8978
16,16,4,128,29.6318
16,16,4,256,37.5942
16,16,4,512,37.7863
16,16,4,1024,40.2453
16,16,4,2048,43.7815
16,16,4,4096,50.379
16,16,4,8192,63.3283
16,16,4,16384,89.5628
16,16,4,32768,141.6
16,16,4,65536,244.811
16,16,8,16,27.0352
16,16,8,32,26.8795
16,16,8,64,28.309
16,16,8,128,29.904
16,16,8,256,37.3922
16,16,8,512,37.8608
16,16,8,1024,40.4267
16,16,8,2048,44.1767
16,16,8,4096,51.6167
16,16,8,8192,65.6745
16,16,8,16384,92.1382
16,16,8,32768,145.797
16,16,8,65536,251.579
16,16,16,16,27.6058
16,16,16,32,27.7548
16,16,16,64,28.9007
16,16,16,128,30.1972
16,16,16,256,40.5228
16,16,16,512,40.2722
16,16,16,1024,44.8953
16,16,16,2048,49.8028
16,16,16,4096,65.0935
16,16,16,8192,83.3705
16,16,16,16384,116.987
16,16,16,32768,181.984
16,16,16,65536,314.234
16,16,32,16,29.0617
16,16,32,32,29.0983
16,16,32,64,30.4377
16,16,32,128,32.1223
16,16,32,256,44.3198
16,16,32,512,48.7627
16,16,32,1024,59.787
16,16,32,2048,70.6457
16,16,32,4096,87.5897
16,16,32,8192,120.838
16,16,32,16384,187.1
16,16,32,32768,318.027
16,16,32,65536,586.652
16,16,64,16,29.7283
16,16,64,32,29.7927
16,16,64,64,31.8295
16,16,64,128,33.3705
16,16,64,256,60.2297
16,16,64,512,64.907
16,16,64,1024,76.0322
16,16,64,2048,95.2432
16,16,64,4096,129.355
16,16,64,8192,194.912
16,16,64,16384,326.72
16,16,64,32768,595.959
16,16,64,65536,1131.59
16,16,128,16,39.1305
16,16,128,32,39.8347
16,16,128,64,41.2322
16,16,128,128,44.208
16,16,128,256,63.0347
16,16,128,512,74.0323
16,16,128,1024,91.8937
16,16,128,2048,125.723
16,16,128,4096,191.995
16,16,128,8192,322.891
16,16,128,16384,589.991
16,16,128,32768,1129.15
16,16,128,65536,2198.12
16,32,0,0,27.824
16,32,1,16,26.7202
