regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,70.545,77.121,76.257,0.8685
pure,2,1,0.5,4.0,0,0,256,1024,640,77.266,76.959,74.897,
pure,2,1,0.5,4.0,0,0,512,2048,1280,77.184,80.112,79.666,0.8477
pure,2,1,0.5,4.0,0,0,1024,4096,2560,79.888,85.441,82.863,0.5359
pure,2,1,0.5,4.0,0,0,2048,8192,5120,88.192,94.08,93.376,0.8804
pure,2,1,0.5,4.0,0,0,4096,16384,10240,100.032,109.536,106.624,0.6936
pure,2,1,0.5,4.0,0,0,8192,32768,20480,119.025,138.384,124.895,0.3033
mixed,2,1,0.5,4.0,16,0,128,512,320,87.953,84.782,85.679,
mixed,2,1,0.5,4.0,16,0,256,1024,640,84.864,85.937,84.273,-0.5503
mixed,2,1,0.5,4.0,16,0,512,2048,1280,85.505,89.185,86.96,0.3954
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,90.976,95.538,93.952,0.6524
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,100.88,107.553,105.345,0.6691
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,112.321,127.425,125.872,0.8972
mixed,2,1,0.5,4.0,16,0,8192,32768,20480,145.137,175.106,170.482,0.8457
mixed,2,1,0.5,4.0,16,512,128,512,320,101.951,102.143,101.168,-4.0755
mixed,2,1,0.5,4.0,16,512,256,1024,640,92.385,92.755,92.543,0.429
mixed,2,1,0.5,4.0,16,512,512,2048,1280,93.585,95.649,94.431,0.4102
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,97.841,100.401,97.921,0.0314
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,101.984,110.911,108.945,0.7797
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,116.96,131.345,129.584,0.8776
mixed,2,1,0.5,4.0,16,512,8192,32768,20480,147.553,174.544,174.079,0.9828
mixed,2,1,0.5,4.0,16,2048,128,512,320,108.513,108.576,108.272,-3.8254
mixed,2,1,0.5,4.0,16,2048,256,1024,640,109.472,109.761,109.009,-1.6049
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,111.362,115.327,111.41,0.0121
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,115.889,114.543,110.879,
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,118.864,115.394,110.288,
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,116.639,131.233,129.809,0.9024
mixed,2,1,0.5,4.0,16,2048,8192,32768,20480,146.866,179.248,175.152,0.8735
mixed,2,1,0.5,4.0,16,8192,128,512,320,142.178,144.113,138.577,-1.8602
mixed,2,1,0.5,4.0,16,8192,256,1024,640,142.097,143.232,142.48,0.3376
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,144.465,142.8,143.744,
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,141.968,139.616,142.241,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,142.273,143.009,142.894,0.8438
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,144.191,152.512,136.448,-0.9307
mixed,2,1,0.5,4.0,16,8192,8192,32768,20480,151.072,177.408,175.923,0.9436
mixed,2,1,0.5,4.0,16,16384,128,512,320,168.689,168.784,168.306,-4.0476
mixed,2,1,0.5,4.0,16,16384,256,1024,640,166.865,167.808,168.4,1.6275
mixed,2,1,0.5,4.0,16,16384,512,2048,1280,167.858,163.553,167.215,
mixed,2,1,0.5,4.0,16,16384,1024,4096,2560,164.161,165.873,167.872,2.1673
mixed,2,1,0.5,4.0,16,16384,2048,8192,5120,163.279,168.929,166.767,0.6174
mixed,2,1,0.5,4.0,16,16384,4096,16384,10240,171.888,175.505,172.497,0.1685
mixed,2,1,0.5,4.0,16,16384,8192,32768,20480,180.033,197.857,179.681,-0.0198
mixed,2,1,0.5,4.0,64,0,128,512,320,87.697,86.496,87.135,
mixed,2,1,0.5,4.0,64,0,256,1024,640,87.568,93.264,91.409,0.6744
mixed,2,1,0.5,4.0,64,0,512,2048,1280,96.513,101.904,103.102,1.2222
mixed,2,1,0.5,4.0,64,0,1024,4096,2560,106.464,120.463,121.792,1.0949
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,130.993,160.033,160.319,1.0098
mixed,2,1,0.5,4.0,64,0,4096,16384,10240,179.377,238.223,236.273,0.9669
